t,alt_km,vr,vtan,beta_deg,reward
0.05,5.4534469498321415e-05,2.1813798385594745,14.828406448974834,8.674750057266394,-0.7369214390813714
0.1,0.0002168562007136643,4.311492582743547,29.6645441500309,8.476660910957685,-0.6922302746892054
0.15000000000000002,0.00048440053360536693,6.390286024968048,44.50823957757416,8.278423208034527,-0.6884036461027487
0.2,0.0008546001568902284,8.417706319341933,59.359319094830106,8.080028410760459,-0.6846158094703977
0.25,0.0013248851476237178,10.393702850740365,74.21760825049482,7.881486764419236,-0.6808666849104832
0.3,0.0018926830778364092,12.31822602732616,89.08293211599401,7.68279997655815,-0.6771561954695264
0.35,0.0025554191321134566,14.19122994313336,103.95511494393499,7.483980000008249,-0.6734842671288487
0.39999999999999997,0.003310516169993207,16.012667508336477,118.8339808364413,7.285020004580362,-0.6698508287345613
0.44999999999999996,0.004155394755769521,17.782493997255397,133.7193532810985,7.085926820463661,-0.6662558120003085
0.49999999999999994,0.005087473232299089,19.50066527841294,148.61105539178237,6.886700447658144,-0.6626991515755236
0.5499999999999999,0.006104167773155495,21.16713870466353,163.50890980632872,6.687344301258396,-0.6591807850152326
0.6,0.007202892478555441,22.7818740051027,178.41273859967052,6.487865211453589,-0.6557006528501446
0.65,0.008381059461506083,24.344831956873865,193.32236345731363,6.288264885791015,-0.6522586985631612
0.7000000000000001,0.009636078878073022,25.855973498754096,208.23760577823626,6.088541616723379,-0.648854868537191
0.7500000000000001,0.010965359035413713,27.31526373448821,223.15828625779102,5.888709064629023,-0.6454891121798074
0.8000000000000002,0.012366306399693713,28.72266393275788,238.08422573688438,5.688750154035023,-0.6421613817748346
0.8500000000000002,0.013836325682932511,30.07814264740102,253.01524407283404,5.488690498150764,-0.6388716326322279
0.9000000000000002,0.015372819984564558,31.381666825556906,267.951161058614,5.288521559239785,-0.6356198231170112
0.9500000000000003,0.016973190833814444,32.63320670434421,282.89179595762874,5.088253582585842,-0.6324059145261195
1.0000000000000002,0.018634838209021835,33.832730025459625,297.8369680382563,4.887874615357885,-0.6292298711029711
1.0500000000000003,0.020355160602834075,34.98020960715157,312.7864959112103,4.687401733028841,-0.6260916601066502
1.1000000000000003,0.02213155517540872,36.07561933991538,327.74019790865765,4.486836643146002,-0.6229912518994503
1.1500000000000004,0.023961417763959617,37.11893240518102,342.6978922261862,4.286174223067489,-0.6199286197540854
1.2000000000000004,0.025842142936075105,38.11012484243959,357.65939665135824,4.085423010529767,-0.6169037399632458
1.2500000000000004,0.027771124149439858,39.04917622182839,372.62452855159773,3.884594104590236,-0.613916591945423
1.3000000000000005,0.02974575378373265,39.93606384860474,387.5931052903461,3.6836764061914944,-0.6109671580681894
1.3500000000000005,0.031763423211639746,40.77077012406077,402.56494374044416,3.4826869908064677,-0.6080554237357982
