t,alt_km,vr,vtan,beta_deg,reward
0.05,-6.714304047636688e-05,-2.685720570521836,14.772116676361343,-10.000000000000002,0.1755161619899587
0.1,-0.0005291226431727409,-15.793462227577347,22.208770420327067,-60.27902855762547,0.2668564428353097
0.15000000000000002,-0.0015091999988071621,-23.409628440528927,35.178787169994834,-30.155332996930486,0.2857490561184703
0.2,-0.002718456803355366,-24.960637643024068,50.10660707133783,-5.6242509701553,0.2892433903488686
0.25,-0.003956336898263544,-24.554557877767813,65.09874096728308,1.8604683978306031,0.29605590738834703
0.3,-0.005164100596681237,-23.755979637162053,80.07298959926835,3.361088279239085,0.29686334664792674
0.35,-0.006330009444849565,-22.880361710223276,95.04252752778442,3.6556470173850544,0.29704217214293377
0.39999999999999997,-0.007451762944692746,-21.989763553432685,110.01111361169151,3.712672266765491,0.2971921176195665
0.44999999999999996,-0.00852891485230066,-21.096295867110467,124.97952604744913,3.7232932109248607,0.2973356809804509
0.49999999999999994,-0.009561381546314805,-20.20235285706876,139.94792044073225,3.7247002298938834,0.297473390968361
0.5499999999999999,-0.010549154104664922,-19.308528286561767,154.91633550830437,3.7237849845451017,0.2976051804004759
0.6,-0.011492233843775465,-18.414637936295037,169.88475932809422,3.723525437356641,0.29773107044060365
0.65,-0.012390625805826857,-17.521015052817823,184.8532136517976,3.721940833469198,0.2978510086083
0.7000000000000001,-0.013244337732670829,-16.627434376144386,199.82168388892973,3.7211690220929867,0.29796502114826173
0.7500000000000001,-0.014053434712579475,-15.736415021153327,214.79033370318385,3.7107051722845275,0.2980728043079341
0.8000000000000002,-0.01481811698153615,-14.850843783240476,229.75934909581912,3.689142265074797,0.29817408025330727
0.8500000000000002,-0.015538628252688796,-13.969572948821304,244.72865442298797,3.671923358177195,0.29826908014513265
0.9000000000000002,-0.016215097524924203,-13.089161675581225,259.69802823707863,3.6678252446751873,0.29835821512309657
0.9500000000000003,-0.01684755563130602,-12.209124157678138,274.6674394189627,3.665537131303233,0.2984415367166176
1.0000000000000002,-0.017436014333739876,-11.329183370413443,289.6368702760321,3.6642598859284408,0.29851907427523594
1.0500000000000003,-0.017980479171965272,-10.449367435044012,304.60632266987665,3.662825546202738,0.2985908232274554
1.1000000000000003,-0.01848095660097897,-9.569684843567869,319.5757972032572,3.661309244206995,0.2986567815788405
1.1500000000000004,-0.01893745412467979,-8.690169070919078,334.54529607550916,3.659615357292832,0.2987169463448023
1.2000000000000004,-0.019349978511920198,-7.810757229456059,349.514815321444,3.658112715675429,0.29877132162336767
1.2500000000000004,-0.01971853807126172,-6.9315738036335945,364.4843629541013,3.656084149491935,0.2988199006885035
1.3000000000000005,-0.020043140509864315,-6.052470249673173,379.45392953585537,3.6545746776853627,0.298862693365161
1.3500000000000005,-0.02032378994463943,-5.173451490653496,394.42351543787015,3.6529969039870895,0.2988997004249775
1.4000000000000006,-0.020560491318115964,-4.294545648315062,409.3931225105236,3.6512620359379064,0.29893092334680105
1.4500000000000006,-0.02075325173768215,-3.415811181266913,424.3627545359533,3.6492539603219227,0.29895636517081464
1.5000000000000007,-0.020902077129343524,-2.537142372978209,439.3324048235803,3.6476010545427795,0.29897603580579085
1.5500000000000007,-0.021006971345050262,-1.6585619918822458,454.30207487779563,3.645811544980236,0.2989899436186735
1.6000000000000008,-0.021067942319903523,-0.7802105850975358,469.27177370094824,3.643434639149072,0.29899810091477785
1.6500000000000008,-0.021084997119847685,0.098087160839475,484.24149017655657,3.6416792805323785,0.2990005289834389
1.7000000000000008,-0.02105814198614098,0.9761889136207567,499.2112334099616,3.639329695457894,0.2989972540053316
1.7500000000000009,-0.020987384923035278,1.8541664844212438,514.1809988771607,3.63720550662602,0.2989883132218065
1.800000000000001,-0.02087273061228916,2.7320809774882546,529.1507827401725,3.6352657329017366,0.29897375569581647
1.850000000000001,-0.020714185007615016,3.609820396531795,544.1205921576568,3.632847845935552,0.29895365200313456
1.900000000000001,-0.020511757342610508,4.487365541092117,559.0904283863865,3.6303070155643073,0.29892809737238113
1.950000000000001,-0.02026545415283181,5.364843543941774,574.0602834000841,3.6282033172999433,0.29889721465279906
2.000000000000001,-0.019975279855309055,6.2422120054469605,589.0301599285075,3.625887883171309,0.2988611750532444
2.0500000000000007,-0.01964124179002829,7.119396403515739,604.0000627298979,3.623237769773344,0.2988202105321178
2.1000000000000005,-0.019263344866689295,7.996568485874474,618.9699809662175,3.62119554321151,0.2987746160070931
2.1500000000000004,-0.01884159419615753,8.87354844039296,633.9399260525555,3.618415656219315,0.29872480354860104
2.2,-0.018375835061538965,9.756909205990622,648.9094811771407,3.640743544616087,0.29867081766162856
2.25,-0.01786969039356336,10.488971985755782,663.8879066407741,3.059692521733932,0.2986215593865419
2.3,-0.01732760190893896,11.194664031122525,678.8677297502911,2.9566317973476095,0.29858234709880493
2.3499999999999996,-0.01675028631929308,11.898058346903431,693.8476829181247,2.945601041838039,0.29854050797832077
2.3999999999999995,-0.016137809704057874,12.601107212620116,708.8276654641463,2.941987871767102,0.29850116117010195
2.4499999999999993,-0.015490184458438307,13.304005715187342,723.807667375869,2.939071380991507,0.29846631586771966
2.499999999999999,-0.0148074248759076,14.006482851270018,738.7877025742403,2.935068890137879,0.2984384031683173
2.549999999999999,-0.014089582283049821,14.707328282883434,753.7678329848522,2.926387719702793,0.2984205763744318
2.5999999999999988,-0.013336705484893173,15.407853223031042,768.7479914520867,2.9226720967943063,0.2984164701165984
2.6499999999999986,-0.012548803708748892,16.108329551824003,783.7281641063333,2.919946851315471,0.2984307062387846
2.6999999999999984,-0.011725880356738343,16.808718418051903,798.7083529493729,2.9170235303507055,0.29846900559939654
2.7499999999999982,-0.010867943451972678,17.50887382064026,813.6885654309467,2.9134923225498093,0.2985383553494295
2.799999999999998,-0.009974999924190342,18.20898549366928,828.668791904681,2.9106373034767437,0.2986471598586071
2.849999999999998,-0.009047053243732079,18.909002084424888,843.649034995882,2.907536397593558,0.29880553812318633
2.8999999999999977,-0.008084114314988256,19.608677583087456,858.6293071970557,2.9034451142807205,0.2990255618694762
2.9499999999999975,-0.007086191386217251,20.308364236685858,873.6095906427959,2.900651566910185,0.2993213856573357
2.9999999999999973,-0.006053285406902432,21.00800176257689,888.5898884000245,2.8975779817836793,0.2997096368782011
3.049999999999997,-0.0049854020371567455,21.707462015104227,903.5702069570996,2.893964811712743,0.3002096103468384
3.099999999999997,-0.0038875468568876385,22.20687641544731,918.5593040986864,2.126121775409079,0.3008698909001312
3.149999999999997,-0.0027664896987844257,22.635543307281655,933.5508644045722,1.8526888123659586,0.3017169422560987
3.1999999999999966,-0.00162417048914358,23.057360638283743,948.5426491927715,1.823428281961624,0.3027497707925843
3.2499999999999964,-0.0004607583344914019,23.479263265133433,963.5344358511627,1.8206210742127489,0.30400350828122397
3.2999999999999963,0.0007237519344780594,23.901287377761257,978.5262232389039,1.8179026589230838,0.305514059519455
3.349999999999996,0.0019293580481316893,24.32309920718839,993.5180219431505,1.8138591869344363,0.30731966863070853
3.399999999999996,0.0031560535586904735,24.744865411585398,1008.5098266708836,1.8104031112144097,0.3094613916827984
3.4499999999999957,0.004403835391625762,25.16655426509701,1023.5016384143909,1.806776280765133,0.3119828476997492
3.4999999999999956,0.005672699377872049,25.588153701395743,1038.4934575393356,1.8030538276674761,0.3149296364017121
3.5499999999999954,0.006962641236372292,26.00967131380057,1053.4852837890946,1.799310884002309,0.3183486200353328
3.599999999999995,0.008273657467681914,26.431130780879524,1068.477116401368,1.7956089214721622,0.3222870240344106
3.649999999999995,0.009605804244754835,26.854895302905323,1083.4688812028485,1.800888657700582,0.32679086407426783
3.699999999999995,0.010960343786515295,27.326843504451443,1098.4590603413192,1.981458368788209,0.3318943682652497
3.7499999999999947,0.012338508259272202,27.799894705959595,1113.4492073956212,1.9820457650568302,0.33764951368248763
3.7999999999999945,0.013740323516307398,28.272877031978222,1128.4393629079514,1.9781047459057328,0.34409144596713415
3.8499999999999943,0.015165670545073225,28.741167734377274,1143.4296855486264,1.9564462160476224,0.35125105373825694
3.899999999999994,0.01661442932765931,29.209349341522582,1158.420017782743,1.9522524798972345,0.35914832698481364
3.949999999999994,0.01808734636288136,29.707499993503504,1173.4093058252085,2.062969846343141,0.36778659948160475
3.999999999999994,0.01958540717791766,30.21510268935672,1188.398257698623,2.0952219996039414,0.37716971814096656
4.049999999999994,0.021108855386730282,30.722997898988424,1203.3872059782595,2.092414791855066,0.38728468964359275
4.099999999999993,0.02265769235789776,31.230655339507297,1218.3761699994775,2.087531206598507,0.39810202080659546
4.149999999999993,0.024231908224057404,31.73815586352507,1233.3651467521545,2.0829071685304084,0.40957580349000566
